last_price,volume,ticker,amount,vol_per_trade,exchange_percent,pe_ratio,liquid_asset,total_asset,pb_ratio
2.400000095,16862,601188,402.1140137,,0.273560584,22.22222328,14.79351139,29.11680031,1.127819538
12.69999981,10585,601199,1338.489136,,1.322463751,21.89655113,10.16594315,29.69260025,1.77030623
7.079999924,47803,601208,3351.990723,,1.50764811,27.23077011,22.44879723,43.59580612,2.083885193
6.550000191,24425,601216,1591.328125,,0.490107566,21.21113968,32.64258194,83.84000397,
7.730000019,8672,601218,665.7473145,,0.621069968,55.2142868,10.79339886,34.8468399,1.549098253
10.80000019,57277,601222,6124.047852,,5.785555363,19.2857151,10.69200039,38.37131882,1.784799576
12.65999985,61617,601231,7739.256836,,5.769382,26.375,13.52087975,128.0842285,4.239785671
7.909999847,58340,601233,4593.785156,,1.319431901,49.4375,34.97504425,76.22075653,1.157160163
5.300000191,139726,601238,7355.409668,,4.869180202,11.04166698,15.20900822,341.0560608,1.068548441
5.269999981,40407,601258,2125.081299,,0.56636858,29.27777672,37.59828949,138.1530457,1.397877932
5.300000191,35566,601268,1870.794434,,1.082711816,-11.28139687,17.41023636,89.56999969,1.804501176
2.49000001,747257,601288,18606.45703,,0.292233109,4.980000019,636.7076416,8087.373535,1.169013977
3.720000029,473200,601299,17533.5,,1.514176965,10.94117641,116.2551498,383.9060974,1.162500024
8.239999771,78201,601311,6359.919922,,2.612534761,17.91304207,24.66488266,69.28140259,2.522963762
9.890000343,9100,601313,894.1724854,,1.625,19.24124527,5.538400173,22.15360069,1.827994943
42.34999847,175675,601318,74467.09375,,0.367029488,12.03125,2027.044434,3352.486084,2.284250021
